trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,ema50_at_entry,ema100_at_entry,stoch_k_at_entry,stoch_d_at_entry,volatility_regime,trend_regime,split,month,spec_hash
13,2025-06-01 12:45:00,2025-06-01 13:06:00,SHORT,103942.1,104020.05657500001,SL,21,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000364,-0.0016000000000000365,0.0008386399736006704,0.0008170895142584916,104086.69708592769,104215.83298477966,73.7857337615646,82.04971659817078,Medium,Ranging,train,2025-06,c555ac9efd53
14,2025-06-01 13:30:00,2025-06-01 13:48:00,LONG,104189.58,104397.95916,TP,18,5e-05,0.0008,0.0008500000000000001,0.001999999999999969,0.0011499999999999688,9.597888766574652e-08,0.0022560797346529056,104142.97698556949,104161.08820192733,6.019751074047508,3.134910717902485,Low,Ranging,train,2025-06,c555ac9efd53
15,2025-06-01 13:57:00,2025-06-01 14:06:00,LONG,104291.78,104500.36356,TP,9,5e-05,0.0008,0.0008500000000000001,0.001999999999999992,0.0011499999999999917,0.0004121130160017973,0.0026293539145654738,104246.6446037414,104217.867818279,2.7895646797408737,1.8622358044815133,Medium,Ranging,train,2025-06,c555ac9efd53
16,2025-06-01 14:44:00,2025-06-01 14:51:00,LONG,104657.01,104578.51724249999,SL,7,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000362,-0.0016000000000000363,0.0008819285014925266,0.0011139244279958099,104569.33300935215,104455.26547016547,42.92621032136841,25.446600364352292,Medium,Trending,train,2025-06,c555ac9efd53
17,2025-06-01 14:53:00,2025-06-01 15:06:00,LONG,104616.8,104538.3374,SL,13,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999897,-0.0015999999999999899,0.0010878749875736751,0.00039955341780672805,104592.70899283921,104487.07755896,26.563896336011926,18.66104530473814,Medium,Ranging,train,2025-06,c555ac9efd53
18,2025-06-01 15:42:00,2025-06-01 15:59:00,LONG,104726.42,104715.1,EOD,17,5e-05,0.0008,0.0008500000000000001,-0.00010809115789494603,-0.0009580911578949461,0.0007255093795815414,0.0006548490820177157,104675.41128617844,104604.06035219852,33.80489700738243,22.12119829603284,Low,Ranging,train,2025-06,c555ac9efd53
19,2025-06-02 12:31:00,2025-06-02 12:38:00,SHORT,104059.37,104137.4145275,SL,7,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000892,-0.0016000000000000892,0.0008358689851765438,3.113607164823972e-05,104173.28673455745,104322.62654068151,97.85446576227805,99.01155821119124,Low,Trending,train,2025-06,c555ac9efd53
20,2025-06-02 13:17:00,2025-06-02 13:24:00,SHORT,104096.04,103887.84792,TP,7,5e-05,0.0008,0.0008500000000000001,0.001999999999999937,0.001149999999999937,4.6303394442353285e-05,0.0022949960440377384,104148.85013617795,104217.30897572082,59.789928640832976,73.67314637564293,Low,Ranging,train,2025-06,c555ac9efd53
21,2025-06-02 13:45:00,2025-06-02 13:46:00,LONG,104217.76,104139.59667999999,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000666,-0.0016000000000000666,0.0013044801577005406,0.0003439912736562926,104171.11341415103,104193.33813611558,25.632029937701645,17.610649183643215,High,Ranging,train,2025-06,c555ac9efd53
22,2025-06-02 14:06:00,2025-06-02 14:07:00,SHORT,103884.0,103961.913,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000045,-0.0016000000000000046,0.0011166300874051827,0.00040391205575455704,104010.25841196372,104088.88075874574,55.940605063684266,72.52492733671822,High,Ranging,train,2025-06,c555ac9efd53
