trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,asia_high,asia_low,asia_range_pct,session_candle_num,split,month,spec_hash,cumulative_pnl_pct,equity_usdt,peak_equity,rolling_drawdown_pct,underwater_trades
0,2019-01-03 12:05:00,2019-01-03 12:40:00,SHORT,3803.64,3809.34546,SL,7,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000343,-0.0023500000000000344,0.0015774363504432597,0.0021847493453639004,3862.74,3805.0,1.5174770039421757,1,train,2019-01,5210f76300b0,-0.0023500000000000344,9976.5,9976.5,0.0,0
1,2019-01-03 12:45:00,2019-01-03 12:50:00,SHORT,3804.21,3809.9163150000004,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000944,-0.002350000000000094,0.003362064659942528,0.0,3862.74,3805.0,1.5174770039421757,9,train,2019-01,5210f76300b0,-0.0047000000000001286,9952.999999999998,9976.5,-0.23555355084450275,1
2,2019-01-06 12:45:00,2019-01-06 13:00:00,LONG,3792.64,3786.95104,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999875,-0.0023499999999999875,0.0020144279446506585,0.00242047755653062,3792.12,3740.0,1.3935828877005318,9,train,2019-01,5210f76300b0,-0.007050000000000116,9929.499999999998,9976.5,-0.4711071016889873,2
3,2019-01-07 12:10:00,2019-01-07 12:15:00,SHORT,3967.72,3973.67158,SL,1,5e-05,0.0008,0.0008500000000000001,-0.001500000000000095,-0.002350000000000095,0.0019532628310465457,0.00035788815743036757,4017.9,3970.03,1.2057843391611622,2,train,2019-01,5210f76300b0,-0.00940000000000021,9905.999999999998,9976.5,-0.7066606525334719,3
4,2019-01-07 12:55:00,2019-01-07 13:00:00,SHORT,3969.99,3956.095035,TP,1,5e-05,0.0008,0.0008500000000000001,0.0034999999999999892,0.002649999999999989,0.0,0.003770790354635604,4017.9,3970.03,1.2057843391611622,11,train,2019-01,5210f76300b0,-0.006750000000000221,9932.499999999998,9976.5,-0.441036435623734,4
5,2019-01-08 12:15:00,2019-01-08 12:45:00,LONG,3996.98,3990.98453,SL,6,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999601,-0.00234999999999996,0.001888926139235168,0.0009532196808590349,3989.0,3922.0,1.7083120856705762,3,train,2019-01,5210f76300b0,-0.00910000000000018,9908.999999999998,9976.5,-0.6765899864682184,5
6,2019-01-08 12:50:00,2019-01-08 13:00:00,LONG,3991.12,4005.08892,TP,2,5e-05,0.0008,0.0008500000000000001,0.0035000000000000634,0.0026500000000000633,0.0006213794624065471,0.004229389244121978,3989.0,3922.0,1.7083120856705762,10,train,2019-01,5210f76300b0,-0.006450000000000117,9935.5,9976.5,-0.41096576955846237,6
7,2019-01-10 12:30:00,2019-01-10 13:00:00,SHORT,3732.08,3719.0177200000003,TP,6,5e-05,0.0008,0.0008500000000000001,0.003499999999999905,0.002649999999999905,0.001318299714904309,0.004303230370195694,3996.01,3731.01,7.10263440730526,6,train,2019-01,5210f76300b0,-0.003800000000000212,9961.999999999998,9976.5,-0.14534155264874274,7
8,2019-01-15 12:30:00,2019-01-15 13:30:00,SHORT,3605.14,3610.5477100000003,SL,12,5e-05,0.0008,0.0008500000000000001,-0.0015000000000001128,-0.002350000000000113,0.002011017602645112,0.0020359819590916556,3648.42,3610.12,1.060906562662742,6,train,2019-01,5210f76300b0,-0.006150000000000325,9938.499999999996,9976.5,-0.3808951034932455,8
9,2019-01-24 12:10:00,2019-01-24 12:45:00,LONG,3556.51,3568.9577850000005,TP,7,5e-05,0.0008,0.0008500000000000001,0.0035000000000000825,0.0026500000000000824,0.0,0.003635586572229471,3555.0,3529.22,0.7304730223675543,2,train,2019-01,5210f76300b0,-0.003500000000000243,9964.999999999996,9976.5,-0.11527088658350763,9
10,2019-01-25 12:50:00,2019-01-25 13:10:00,SHORT,3548.9,3554.22335,SL,4,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000334,-0.0023500000000000335,0.0017188424582264671,0.0013807095156245853,3587.15,3551.0,1.0180230920867388,10,train,2019-01,5210f76300b0,-0.005850000000000277,9941.499999999998,9976.5,-0.3508244374279739,10
11,2019-02-02 12:10:00,2019-02-02 13:55:00,LONG,3470.28,3465.0745800000004,SL,21,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999354,-0.0023499999999999355,0.0017577832336296679,0.0027260048180549066,3471.0,3440.29,0.8926573050527729,2,train,2019-02,5210f76300b0,-0.008200000000000212,9917.999999999998,9976.5,-0.5863779882724585,11
12,2019-02-03 12:05:00,2019-02-03 12:30:00,SHORT,3458.56,3463.74784,SL,5,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000148,-0.002350000000000015,0.0017839794596595324,0.0007401924500369939,3511.09,3457.38,1.5534884797158552,1,train,2019-02,5210f76300b0,-0.010550000000000228,9894.499999999996,9976.5,-0.8219315391169612,12
13,2019-02-05 12:05:00,2019-02-05 12:10:00,LONG,3470.53,3465.3242050000003,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999575,-0.0023499999999999576,0.0015934165674983936,0.0,3471.89,3448.43,0.6803095901613209,1,train,2019-02,5210f76300b0,-0.012900000000000186,9870.999999999998,9976.5,-1.0574850899614276,13
14,2019-02-13 12:50:00,2019-02-13 14:15:00,SHORT,3623.77,3611.0868050000004,TP,17,5e-05,0.0008,0.0008500000000000001,0.0034999999999998934,0.0026499999999998933,0.0006567745745453241,0.0035901837037118148,3670.0,3624.0,1.2693156732891833,10,train,2019-02,5210f76300b0,-0.010250000000000292,9897.499999999996,9976.5,-0.7918608730517079,14
15,2019-02-28 12:05:00,2019-02-28 12:30:00,LONG,3838.0,3832.2430000000004,SL,5,5e-05,0.0008,0.0008500000000000001,-0.0014999999999998977,-0.0023499999999998977,0.0024752475247524753,0.0001615424700364489,3833.95,3809.88,0.6317784287169073,1,train,2019-02,5210f76300b0,-0.01260000000000019,9873.999999999998,9976.5,-1.0274144238961742,15
16,2019-03-04 12:45:00,2019-03-04 13:30:00,SHORT,3698.29,3703.8374350000004,SL,9,5e-05,0.0008,0.0008500000000000001,-0.0015000000000001095,-0.00235000000000011,0.0026688009864017943,0.002198313274513386,3830.0,3699.5,3.5275037167184755,9,train,2019-03,5210f76300b0,-0.0149500000000003,9850.499999999996,9976.5,-1.262967974740677,16
17,2019-03-13 12:45:00,2019-03-13 12:55:00,SHORT,3865.0,3870.7975,SL,2,5e-05,0.0008,0.0008500000000000001,-0.001500000000000033,-0.002350000000000033,0.003340232858990907,0.0014540750323414984,3893.56,3870.0,0.6087855297157609,9,train,2019-03,5210f76300b0,-0.017300000000000332,9826.999999999996,9976.5,-1.4985215255851616,17
18,2019-04-13 12:10:00,2019-04-13 12:15:00,SHORT,5028.7,5036.24305,SL,1,5e-05,0.0008,0.0008500000000000001,-0.001500000000000044,-0.002350000000000044,0.0026448187404299684,0.0,5099.0,5030.01,1.3715678497657018,2,train,2019-04,5210f76300b0,-0.019650000000000375,9803.499999999996,9976.5,-1.7340750764296462,18
19,2019-04-13 12:45:00,2019-04-13 12:55:00,SHORT,5032.0,5039.548000000001,SL,2,5e-05,0.0008,0.0008500000000000001,-0.001500000000000136,-0.002350000000000136,0.0021502384737678275,0.0004431637519871946,5099.0,5030.01,1.3715678497657018,9,train,2019-04,5210f76300b0,-0.022000000000000512,9779.999999999995,9976.5,-1.969628627274149,19
20,2019-04-15 12:25:00,2019-04-15 12:45:00,SHORT,5110.52,5118.185780000001,SL,4,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000523,-0.0023500000000000526,0.0016182306301510466,0.0013149346837504313,5167.38,5113.0,1.0635634656757307,5,train,2019-04,5210f76300b0,-0.024350000000000566,9756.499999999995,9976.5,-2.2051821781186334,20
21,2019-04-28 12:10:00,2019-04-28 12:15:00,LONG,5326.25,5318.260625,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000204,-0.0023500000000000205,0.001815536259094123,0.0,5321.54,5280.0,0.7867424242424235,2,train,2019-04,5210f76300b0,-0.026700000000000584,9732.999999999995,9976.5,-2.440735728963118,21
22,2019-04-28 12:20:00,2019-04-28 13:30:00,LONG,5321.96,5313.97706,SL,14,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999757,-0.002349999999999976,0.00375049793685034,0.0019165871220377113,5321.54,5280.0,0.7867424242424235,4,train,2019-04,5210f76300b0,-0.02905000000000056,9709.499999999995,9976.5,-2.6762892798076026,22
23,2019-04-30 12:05:00,2019-04-30 12:10:00,LONG,5268.86,5260.95671,SL,1,5e-05,0.0008,0.0008500000000000001,-0.001499999999999865,-0.0023499999999998652,0.0026912842626297495,0.0,5264.01,5192.15,1.3840124033396684,1,train,2019-04,5210f76300b0,-0.03140000000000043,9685.999999999996,9976.5,-2.911842830652069,23
24,2019-04-30 12:20:00,2019-04-30 12:40:00,LONG,5265.29,5283.7185150000005,TP,4,5e-05,0.0008,0.0008500000000000001,0.003500000000000098,0.002650000000000098,0.0,0.004465091191558341,5264.01,5192.15,1.3840124033396684,4,train,2019-04,5210f76300b0,-0.02875000000000033,9712.499999999996,9976.5,-2.646218613742331,24
25,2019-05-08 12:50:00,2019-05-08 12:55:00,LONG,5923.41,5914.524885,SL,1,5e-05,0.0008,0.0008500000000000001,-0.001500000000000007,-0.002350000000000007,0.0026015420171826456,0.0008677434113121205,5928.65,5772.2,2.710405044870237,10,train,2019-05,5210f76300b0,-0.03110000000000034,9688.999999999996,9976.5,-2.8817721645868155,25
26,2019-05-08 13:00:00,2019-05-08 13:05:00,LONG,5928.61,5919.717085,SL,1,5e-05,0.0008,0.0008500000000000001,-0.001499999999999907,-0.002349999999999907,0.002072998561214174,0.0,5928.65,5772.2,2.710405044870237,12,train,2019-05,5210f76300b0,-0.03345000000000024,9665.499999999998,9976.5,-3.1173257154312815,26
27,2019-05-16 12:40:00,2019-05-16 12:45:00,SHORT,7868.18,7840.64137,TP,1,5e-05,0.0008,0.0008500000000000001,0.0035000000000000014,0.0026500000000000013,0.0,0.004214443492650124,8320.0,7870.01,5.717781807138743,8,train,2019-05,5210f76300b0,-0.030800000000000244,9691.999999999998,9976.5,-2.851701498521544,27
