trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,ema50_at_entry,ema100_at_entry,stoch_k_at_entry,stoch_d_at_entry,pullback_stoch_min,pullback_stoch_max,volatility_regime,trend_regime,split,month,spec_hash,pb_depth_bucket
10,2019-02-06 13:20:00,2019-02-06 14:35:00,SHORT,3403.74,3396.93252,TP,15,5e-05,0.0008,0.0008500000000000001,0.0019999999999999827,0.0011499999999999826,0.0006933549566065937,0.0029350067866522654,3433.20608304219,3443.8250722542944,37.69165831624661,57.459756572638554,37.69165831624661,88.56216877241009,Medium,Trending,train,2019-02,3509407d0c39,
11,2019-02-09 14:45:00,2019-02-09 14:50:00,LONG,3658.63,3655.8860275,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999801,-0.0015999999999999801,0.000989441402929482,0.0006614497776490306,3606.7198783667504,3548.1862421693572,20.463632375940993,18.61287795702016,13.33029929964429,53.844056934779594,Low,Trending,train,2019-02,3509407d0c39,10-15
12,2019-02-14 13:00:00,2019-02-14 13:05:00,SHORT,3586.83,3589.5201225,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000399,-0.00160000000000004,0.0014413841748842496,0.0,3601.6529109900057,3609.0562393627265,73.5526651364457,77.59870671028948,70.78185664713045,88.83578958478482,High,Trending,train,2019-02,3509407d0c39,
13,2019-02-14 13:45:00,2019-02-14 15:00:00,SHORT,3591.34,3594.0335050000003,SL,15,5e-05,0.0008,0.0008500000000000001,-0.000750000000000052,-0.001600000000000052,0.0024113562068753874,0.0017820646332566926,3598.8514747313907,3606.3103175315605,54.70442638798755,71.36394750020811,54.70442638798755,86.51379516467046,Medium,Trending,train,2019-02,3509407d0c39,
14,2019-02-24 14:00:00,2019-02-24 14:05:00,LONG,4105.11,4102.031167499999,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000773,-0.0016000000000000775,0.020408710119826205,0.0,4057.477341236409,4017.649969203053,17.2321275478814,18.603125916478565,13.391557496360988,22.55104932819246,High,Trending,train,2019-02,3509407d0c39,10-15
15,2019-02-25 14:10:00,2019-02-25 14:20:00,SHORT,3794.77,3787.18046,TP,2,5e-05,0.0008,0.0008500000000000001,0.001999999999999985,0.0011499999999999848,0.00050595951796817,0.0026536522635100847,3838.4111264969747,3883.9602189395823,34.01004147566027,43.08096099398339,34.01004147566027,78.52903114180582,Medium,Trending,train,2019-02,3509407d0c39,
16,2019-03-04 14:10:00,2019-03-04 14:15:00,SHORT,3714.84,3717.62613,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999885,-0.0015999999999999886,0.000974469963713078,0.00032302871725303723,3743.4452830532423,3771.7509073952756,87.70640092381286,82.25588172479748,78.7937263835743,94.34858340673604,High,Trending,train,2019-03,3509407d0c39,
17,2019-03-04 14:25:00,2019-03-04 14:30:00,SHORT,3708.98,3711.761735,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000071,-0.0016000000000000072,0.002431935464736931,0.0,3740.024472683439,3768.3402927054603,58.48307518262366,69.89799042073295,58.48307518262366,87.70640092381286,High,Trending,train,2019-03,3509407d0c39,
18,2019-03-04 14:35:00,2019-03-04 14:40:00,SHORT,3710.32,3713.1027400000003,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000279,-0.001600000000000028,0.001773431941180256,0.0,3737.778415575908,3766.084414156084,55.540069686411584,54.25435690064723,48.73992583290638,86.65422236652027,Low,Trending,train,2019-03,3509407d0c39,
19,2019-03-11 14:05:00,2019-03-11 14:15:00,SHORT,3862.33,3854.60534,TP,2,5e-05,0.0008,0.0008500000000000001,0.001999999999999963,0.0011499999999999631,0.000554069693682278,0.002542506725215015,3879.2400859273203,3890.345184982611,35.70734992212993,59.2232328042547,35.70734992212993,90.24464687761515,Medium,Trending,train,2019-03,3509407d0c39,
