trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,asia_high,asia_low,asia_range_pct,session_candle_num,rej_efficiency,rej_wick_pct,rej_reclaim_pct,rej_candle_num,split,month,spec_hash,asia_range_bucket
0,2019-01-03 12:10:00,2019-01-03 12:15:00,LONG,3806.44,3800.73034,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999961,-0.002349999999999996,0.0019545822343186954,0.0,3862.74,3805.0,1.5174770039421757,2,0.8225108225108814,0.0004993429697766336,0.0006070959264126006,1,train,2019-01,b1325240c0f4,Q2
1,2019-01-06 13:00:00,2019-01-06 13:15:00,SHORT,3791.12,3796.80668,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000664,-0.0023500000000000664,0.0018754352275844942,0.0008651796830487417,3792.12,3740.0,1.3935828877005318,12,2.045801526717865,0.0007067286900204348,0.0003454532029576979,11,train,2019-01,b1325240c0f4,Q2
2,2019-01-07 12:20:00,2019-01-07 12:55:00,LONG,3974.02,3968.05897,SL,7,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999842,-0.002349999999999984,0.0047810529388377515,0.0005485629161402903,4017.9,3970.03,1.2057843391611622,4,0.9395465994962736,0.0009395394997015181,0.0009999924433819894,3,train,2019-01,b1325240c0f4,Q2
3,2019-01-08 13:00:00,2019-01-08 13:05:00,SHORT,3989.16,3995.14374,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000315,-0.0023500000000000318,0.003241283879313011,0.0,3989.0,3922.0,1.7083120856705762,12,20.0,0.0010328403108548236,4.2617197292572764e-05,11,train,2019-01,b1325240c0f4,Q2
4,2019-01-10 12:25:00,2019-01-10 12:45:00,LONG,3735.12,3729.51732,SL,4,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999903,-0.00234999999999999,0.0016358242840925252,0.00047120306710365885,3996.01,3731.01,7.10263440730526,5,0.0030674846626438665,2.680239399041621e-06,0.0008737580440684328,4,train,2019-01,b1325240c0f4,Q4 (wide)
5,2019-01-15 12:05:00,2019-01-15 12:25:00,LONG,3614.04,3608.6189400000003,SL,4,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999087,-0.0023499999999999086,0.0033314517824927126,0.0010957266660026,3648.42,3610.12,1.060906562662742,1,0.024590163934403317,3.323989230271871e-05,0.0013517556203118204,0,train,2019-01,b1325240c0f4,Q1 (tight)
6,2019-02-02 12:10:00,2019-02-02 12:25:00,SHORT,3470.28,3475.4854200000004,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000666,-0.0023500000000000664,0.0027260048180549066,0.00033138536371707497,3471.0,3440.29,0.8926573050527729,2,7.150684931506397,0.0015038893690578507,0.00021031403053875487,1,train,2019-02,b1325240c0f4,Q1 (tight)
7,2019-02-03 12:05:00,2019-02-03 13:10:00,LONG,3458.56,3470.66496,TP,13,5e-05,0.0008,0.0008500000000000001,0.0035000000000000343,0.0026500000000000343,0.0007401924500369939,0.004169365284974114,3511.09,3457.38,1.5534884797158552,1,2.6794871794882407,0.0006045039885694211,0.00022560435937031664,0,train,2019-02,b1325240c0f4,Q2
8,2019-02-28 12:35:00,2019-02-28 14:00:00,SHORT,3829.0,3834.7435,SL,17,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000104,-0.0023500000000000105,0.0018281535648994515,0.0016009401932619769,3833.95,3809.88,0.6317784287169073,7,0.5030303030303693,0.0006494607389246695,0.0012910966496693537,6,train,2019-02,b1325240c0f4,Q1 (tight)
9,2019-03-04 12:50:00,2019-03-04 13:05:00,LONG,3701.48,3695.9277800000004,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0014999999999998862,-0.002349999999999886,0.001577747279466631,0.0005808487415844719,3830.0,3699.5,3.5275037167184755,10,1.4736842105263368,0.000454115421002794,0.00030814974996617723,9,train,2019-03,b1325240c0f4,Q4 (wide)
